רשימת יישובים ואזורים סטטיסטיים שבהם מתגוררת אוכלוסייה חרדית לפי רמת הומוגניות חרדית,,,,,,
" לפי תוצאות הבחירות לכנסת ה-20, שנערכו בשנת 2015",,,,,,
מס',רמת הומוגניות חרדית ,שם יישוב,סמל יישוב,סמל אזור סטטיסטי,פירוט גאוגרפי,רמה מקובצת של הומוגניות חרדית - בחירות 13
1,,,,,,
1,1,אור הגנוז,1294,0,,3
2,1,אשדוד,70,141,"חטיבת הנגב, חטיבת יפתח, שד סנה משה, האדמו""ר מבעלז",1
3,1,אשדוד,70,211,"יוחנן בן זכאי, רבי טרפון, רבי יהודה הנשיא, שמעון בן שטח",1
4,1,אשדוד,70,212,"אליעזר בן הורקנוס, יוחנן בן זכאי, עקביא בן מהללאל, רשב""י, שמעון בן שטח",1
5,1,אשדוד,70,213,"רשב""י, התלמוד, רבי מאיר בעל הנס,שד ירושלים ",1
6,1,אשדוד,70,322,"היסמין, שד הפרחים, הצבעוני, החרצית, הרותם",1
7,1,בית חלקיה,2033,0,,1
8,1,בית שמש,2610,12,"דרך החיים, אלון יגאל",1
9,1,בית שמש,2610,26,"אור שמח, אשכול לוי, שפת אמת, בן זאב יהודה, חזון איש",1
10,1,בית שמש,2610,27,"אשכול לוי, בן עזאי, הרב הרצוג, חזון איש, רבי יוסי בן קיסמא",1
11,1,בית שמש,2610,31,"נהר הירדן, רבי פנחס בן יאיר, רבי דוסתאי, הרב הרצוג, רבי חלפתא בן דוסא",1
12,1,בית שמש,2610,32,"נהר הירדן, נחוניה בן הקנה, רבי יהודה הנשיא, רבי יהושע, רשב""י",1
13,1,ביתר עילית,3780,3,"הרב צדקא יהודה, הרבי מליובאוויטש, הרב אוירבך, הבבא סאלי, יוחנן בן זכאי",1
14,1,ביתר עילית,3780,4,"הבבא סאלי, רבי נחמן מברסלב, מפעל הש""ס, הרבי מזוועהיל, חזון יצחק",1
15,1,ביתר עילית,3780,5,"מעלות רבי הילל, הדף היומי, איגרות משה, כף החיים, הרב קעניג",1
16,1,ביתר עילית,3780,6,"פנים מאירים, המגיד ממעזריטש, הרב ברים, יסוד העבודה, פחד יצחק",1
17,1,ביתר עילית,3780,7,"שלום רב, הר""ן, חיי יצחק, קדושת לוי, המגיד ממעזריטש",1
18,1,ביתר עילית,3780,8,"החוזה מלובלין, הרב מוצפי יעקב,כנסת יחזקאל, דרכי איש, כנסת מרדכי ",1
19,1,בני ברק,6100,211,"חשב סופר, ז'בוטינסקי, הרב שך, אהרונוביץ ראובן, הירדן",1
